Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 3 [40960/49000 (83%)]	Train Loss: 2.195597	Val Loss: 2.165457	Val Acc: 31
Train Epoch: 3 [43520/49000 (89%)]	Train Loss: 2.157218	Val Loss: 2.164853	Val Acc: 31
Train Epoch: 3 [46080/49000 (94%)]	Train Loss: 2.183652	Val Loss: 2.164231	Val Acc: 31
Train Epoch: 3 [48640/49000 (99%)]	Train Loss: 2.155899	Val Loss: 2.163808	Val Acc: 32
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 2.190315	Val Loss: 2.163732	Val Acc: 32
Train Epoch: 4 [2560/49000 (5%)]	Train Loss: 2.203331	Val Loss: 2.163488	Val Acc: 32
Train Epoch: 4 [5120/49000 (10%)]	Train Loss: 2.192447	Val Loss: 2.163320	Val Acc: 32
Train Epoch: 4 [7680/49000 (16%)]	Train Loss: 2.184663	Val Loss: 2.163161	Val Acc: 32
Train Epoch: 4 [10240/49000 (21%)]	Train Loss: 2.168634	Val Loss: 2.162919	Val Acc: 32
Train Epoch: 4 [12800/49000 (26%)]	Train Loss: 2.174951	Val Loss: 2.162632	Val Acc: 32
Train Epoch: 4 [15360/49000 (31%)]	Train Loss: 2.180583	Val Loss: 2.162361	Val Acc: 32
Train Epoch: 4 [17920/49000 (36%)]	Train Loss: 2.192940	Val Loss: 2.162144	Val Acc: 32
Train Epoch: 4 [20480/49000 (42%)]	Train Loss: 2.171992	Val Loss: 2.161961	Val Acc: 32
Train Epoch: 4 [23040/49000 (47%)]	Train Loss: 2.184236	Val Loss: 2.161865	Val Acc: 32
Train Epoch: 4 [25600/49000 (52%)]	Train Loss: 2.183178	Val Loss: 2.161818	Val Acc: 32
Train Epoch: 4 [28160/49000 (57%)]	Train Loss: 2.164547	Val Loss: 2.161843	Val Acc: 32
Train Epoch: 4 [30720/49000 (62%)]	Train Loss: 2.201155	Val Loss: 2.161819	Val Acc: 32
Train Epoch: 4 [33280/49000 (68%)]	Train Loss: 2.193793	Val Loss: 2.161715	Val Acc: 32
Train Epoch: 4 [35840/49000 (73%)]	Train Loss: 2.191981	Val Loss: 2.161794	Val Acc: 32
Train Epoch: 4 [38400/49000 (78%)]	Train Loss: 2.192688	Val Loss: 2.161854	Val Acc: 32
Train Epoch: 4 [40960/49000 (83%)]	Train Loss: 2.186573	Val Loss: 2.161752	Val Acc: 32
Train Epoch: 4 [43520/49000 (89%)]	Train Loss: 2.181845	Val Loss: 2.161520	Val Acc: 33
Train Epoch: 4 [46080/49000 (94%)]	Train Loss: 2.181274	Val Loss: 2.160961	Val Acc: 32
Train Epoch: 4 [48640/49000 (99%)]	Train Loss: 2.174459	Val Loss: 2.160762	Val Acc: 33
Train Epoch: 5 [0/49000 (0%)]	Train Loss: 2.171475	Val Loss: 2.160757	Val Acc: 33
Train Epoch: 5 [2560/49000 (5%)]	Train Loss: 2.161032	Val Loss: 2.160757	Val Acc: 33
Train Epoch: 5 [5120/49000 (10%)]	Train Loss: 2.196561	Val Loss: 2.160889	Val Acc: 33
Train Epoch: 5 [7680/49000 (16%)]	Train Loss: 2.180314	Val Loss: 2.160937	Val Acc: 33
Train Epoch: 5 [10240/49000 (21%)]	Train Loss: 2.175956	Val Loss: 2.160973	Val Acc: 33
Train Epoch: 5 [12800/49000 (26%)]	Train Loss: 2.187974	Val Loss: 2.161047	Val Acc: 32
Train Epoch: 5 [15360/49000 (31%)]	Train Loss: 2.186146	Val Loss: 2.161093	Val Acc: 32
Train Epoch: 5 [17920/49000 (36%)]	Train Loss: 2.161699	Val Loss: 2.161318	Val Acc: 32
Train Epoch: 5 [20480/49000 (42%)]	Train Loss: 2.162500	Val Loss: 2.161441	Val Acc: 32
Train Epoch: 5 [23040/49000 (47%)]	Train Loss: 2.159197	Val Loss: 2.161578	Val Acc: 32
Train Epoch: 5 [25600/49000 (52%)]	Train Loss: 2.192232	Val Loss: 2.161766	Val Acc: 33
Train Epoch: 5 [28160/49000 (57%)]	Train Loss: 2.155773	Val Loss: 2.161888	Val Acc: 33
Train Epoch: 5 [30720/49000 (62%)]	Train Loss: 2.181781	Val Loss: 2.162098	Val Acc: 33
Train Epoch: 5 [33280/49000 (68%)]	Train Loss: 2.153405	Val Loss: 2.162295	Val Acc: 33
Train Epoch: 5 [35840/49000 (73%)]	Train Loss: 2.173225	Val Loss: 2.162382	Val Acc: 33
Train Epoch: 5 [38400/49000 (78%)]	Train Loss: 2.183729	Val Loss: 2.162429	Val Acc: 33
Train Epoch: 5 [40960/49000 (83%)]	Train Loss: 2.174290	Val Loss: 2.162633	Val Acc: 33
Train Epoch: 5 [43520/49000 (89%)]	Train Loss: 2.186683	Val Loss: 2.162484	Val Acc: 33
Train Epoch: 5 [46080/49000 (94%)]	Train Loss: 2.151793	Val Loss: 2.162291	Val Acc: 32
Train Epoch: 5 [48640/49000 (99%)]	Train Loss: 2.185725	Val Loss: 2.162176	Val Acc: 32

test set: Average loss: 2.1766, Accuracy: 3148/10000 (31%)

