Train Epoch: 2 [12800/49000 (26%)]	Train Loss: 1.286673	Val Loss: 1.269396	Val Acc: 52	Test Acc: 54
Train Epoch: 2 [14080/49000 (29%)]	Train Loss: 1.429868	Val Loss: 1.306612	Val Acc: 50	Test Acc: 52
Train Epoch: 2 [15360/49000 (31%)]	Train Loss: 1.557635	Val Loss: 1.207537	Val Acc: 54	Test Acc: 52
Train Epoch: 2 [16640/49000 (34%)]	Train Loss: 1.350772	Val Loss: 1.257085	Val Acc: 54	Test Acc: 52
Train Epoch: 2 [17920/49000 (37%)]	Train Loss: 1.230264	Val Loss: 1.256395	Val Acc: 54	Test Acc: 55
Train Epoch: 2 [19200/49000 (39%)]	Train Loss: 1.219143	Val Loss: 1.280803	Val Acc: 55	Test Acc: 52
Train Epoch: 2 [20480/49000 (42%)]	Train Loss: 1.290338	Val Loss: 1.233684	Val Acc: 56	Test Acc: 56
Train Epoch: 2 [21760/49000 (44%)]	Train Loss: 1.319317	Val Loss: 1.275912	Val Acc: 53	Test Acc: 53
Train Epoch: 2 [23040/49000 (47%)]	Train Loss: 1.191723	Val Loss: 1.263647	Val Acc: 53	Test Acc: 54
Train Epoch: 2 [24320/49000 (50%)]	Train Loss: 1.141557	Val Loss: 1.199757	Val Acc: 56	Test Acc: 55
Train Epoch: 2 [25600/49000 (52%)]	Train Loss: 1.257689	Val Loss: 1.256633	Val Acc: 53	Test Acc: 53
Train Epoch: 2 [26880/49000 (55%)]	Train Loss: 1.216369	Val Loss: 1.300098	Val Acc: 54	Test Acc: 55
Train Epoch: 2 [28160/49000 (57%)]	Train Loss: 1.103856	Val Loss: 1.226789	Val Acc: 55	Test Acc: 50
Train Epoch: 2 [29440/49000 (60%)]	Train Loss: 1.180635	Val Loss: 1.192458	Val Acc: 57	Test Acc: 52
Train Epoch: 2 [30720/49000 (63%)]	Train Loss: 1.353829	Val Loss: 1.162994	Val Acc: 56	Test Acc: 58
Train Epoch: 2 [32000/49000 (65%)]	Train Loss: 1.325282	Val Loss: 1.162327	Val Acc: 56	Test Acc: 56
Train Epoch: 2 [33280/49000 (68%)]	Train Loss: 1.127030	Val Loss: 1.155482	Val Acc: 58	Test Acc: 55
Train Epoch: 2 [34560/49000 (70%)]	Train Loss: 1.199989	Val Loss: 1.273551	Val Acc: 54	Test Acc: 56
Train Epoch: 2 [35840/49000 (73%)]	Train Loss: 1.110297	Val Loss: 1.228099	Val Acc: 56	Test Acc: 56
Train Epoch: 2 [37120/49000 (76%)]	Train Loss: 1.249422	Val Loss: 1.195581	Val Acc: 58	Test Acc: 55
Train Epoch: 2 [38400/49000 (78%)]	Train Loss: 1.308726	Val Loss: 1.288617	Val Acc: 55	Test Acc: 58
Train Epoch: 2 [39680/49000 (81%)]	Train Loss: 1.185525	Val Loss: 1.316713	Val Acc: 54	Test Acc: 52
Train Epoch: 2 [40960/49000 (84%)]	Train Loss: 1.215654	Val Loss: 1.252573	Val Acc: 55	Test Acc: 57
Train Epoch: 2 [42240/49000 (86%)]	Train Loss: 1.343702	Val Loss: 1.196243	Val Acc: 54	Test Acc: 58
Train Epoch: 2 [43520/49000 (89%)]	Train Loss: 1.248037	Val Loss: 1.117660	Val Acc: 61	Test Acc: 56
Train Epoch: 2 [44800/49000 (91%)]	Train Loss: 1.208199	Val Loss: 1.211986	Val Acc: 57	Test Acc: 57
